S7C1	S7C14128
S19C2	S19C286016
S13C3	S13C182904
S13C4	S13C149524
S19C5	S19C399298
S18C6	S18C33566
S18C6	S18C79885
S18C6	S18C85191
S18C6	S18C66601
S18C6	S18C78453
S18C6	S18C37252
S18C6	S18C41190
S18C6	S18C80149
S18C6	S18C57066
S18C6	S18C16381
S18C6	S18C5694
S18C6	S18C23544
S18C6	S18C3247
S18C6	S18C36107
S18C6	S18C37903
S18C6	S18C64597
S18C6	S18C46625
S18C6	S18C64437
S18C6	S18C66051
S18C6	S18C61918
S18C6	S18C58637
S18C6	S18C77552
S18C6	S18C16599
S18C6	S18C65026
S18C6	S18C16409
S18C6	S18C9211
S18C6	S18C72913
S18C6	S18C30793
S18C6	S18C62579
S18C6	S18C40843
S18C6	S18C73290
S18C6	S18C67387
S18C6	S18C64137
S18C6	S18C25447
S18C6	S18C66028
S18C6	S18C38835
S18C6	S18C34329
S18C6	S18C35386
S18C6	S18C22610
S18C6	S18C85884
S18C6	S18C51457
S18C6	S18C50022
S18C6	S18C53968
S18C6	S18C36059
S18C6	S18C62656
S18C6	S18C45163
S18C6	S18C20978
S18C6	S18C31471
S18C6	S18C28675
S18C6	S18C86027
S18C6	S18C10252
S18C6	S18C39094
S18C6	S18C57471
S18C6	S18C43094
S18C6	S18C68159
S18C6	S18C56989
S18C6	S18C17585
S18C6	S18C70376
S18C6	S18C64677
S18C6	S18C55493
S18C6	S18C75603
S18C6	S18C53685
S18C6	S18C20624
S18C6	S18C62760
S18C6	S18C75074
S18C6	S18C68010
S18C6	S18C34991
S18C6	S18C39279
S18C6	S18C22018
S18C6	S18C11746
S18C6	S18C12348
S18C6	S18C14999
S18C6	S18C11
S18C6	S18C8277
S18C6	S18C76249
S18C6	S18C55924
S18C6	S18C38369
S18C6	S18C50018
S18C6	S18C19380
S18C6	S18C77478
S18C6	S18C15627
S18C6	S18C72475
S18C6	S18C18236
S18C6	S18C33305
S18C6	S18C4666
S18C6	S18C54893
S18C6	S18C911
S18C6	S18C82998
S18C6	S18C40487
S18C6	S18C54576
S18C6	S18C7339
S18C6	S18C963
S18C6	S18C55437
S18C6	S18C7171
S18C6	S18C61463
S18C6	S18C84882
S18C6	S18C58542
S18C6	S18C63381
S18C6	S18C63015
S18C6	S18C68991
S18C6	S18C67198
S18C6	S18C28311
S18C6	S18C51417
S18C6	S18C27282
S18C6	S18C68437
S18C6	S18C5008
S18C6	S18C66468
S18C6	S18C63329
S18C6	S18C11884
S18C6	S18C76073
S18C6	S18C79423
S18C6	S18C18554
S18C6	S18C84964
S18C6	S18C29625
S18C6	S18C8846
S18C6	S18C72474
S18C6	S18C3475
S18C6	S18C53563
S18C6	S18C36851
S18C6	S18C85083
S18C6	S18C79999
S18C6	S18C35591
S18C6	S18C47484
S18C6	S18C16529
S18C6	S18C34789
S18C6	S18C14723
S18C6	S18C51482
S18C6	S18C83897
S18C6	S18C29262
S18C6	S18C29374
S18C6	S18C63028
S18C6	S18C78060
S18C6	S18C79463
S18C6	S18C5838
S18C6	S18C60049
S18C6	S18C33243
S18C6	S18C65581
S18C6	S18C49757
S18C6	S18C59073
S18C6	S18C43409
S18C6	S18C20959
S18C6	S18C69604
S18C6	S18C84871
S18C6	S18C69437
S18C6	S18C79184
S18C6	S18C31523
S18C6	S18C84762
S18C6	S18C21392
S18C6	S18C16280
S18C6	S18C41681
S18C6	S18C338
S18C6	S18C2249
S18C6	S18C76021
S18C6	S18C57915
S18C6	S18C18565
S18C6	S18C57106
S18C6	S18C57082
S18C6	S18C74394
S18C6	S18C64284
S18C6	S18C82276
S18C6	S18C8334
S18C6	S18C3084
S18C6	S18C48680
S18C6	S18C25841
S18C6	S18C35240
S18C6	S18C59902
S18C6	S18C58282
S18C6	S18C9962
S18C6	S18C21323
S18C6	S18C50750
S18C6	S18C30612
S18C6	S18C25981
S18C6	S18C26238
S18C6	S18C8171
S18C6	S18C9282
S18C6	S18C5892
S18C6	S18C29470
S18C6	S18C10962
S18C6	S18C36839
S18C6	S18C71083
S18C6	S18C74906
S18C6	S18C69922
S18C6	S18C44365
S18C6	S18C47726
S18C6	S18C70599
S18C6	S18C19070
S18C6	S18C8531
S18C6	S18C60237
S18C6	S18C31890
S18C6	S18C14134
S18C6	S18C34832
S18C6	S18C25883
S18C6	S18C18254
S18C6	S18C81932
S18C6	S18C59143
S18C6	S18C63851
S18C6	S18C11665
S18C6	S18C32941
S18C6	S18C3035
S18C6	S18C85765
S18C6	S18C29442
S18C6	S18C16073
S18C6	S18C57993
S18C6	S18C64530
S18C6	S18C44473
S18C6	S18C26990
S18C6	S18C60517
S18C6	S18C49973
S18C6	S18C12856
S18C6	S18C30130
S18C6	S18C6007
S18C6	S18C2975
S18C6	S18C83038
S18C6	S18C17124
S18C6	S18C60863
S18C6	S18C36582
S18C6	S18C53360
S18C6	S18C64256
S18C6	S18C48401
S18C6	S18C69893
S18C6	S18C50550
S18C6	S18C4220
S18C6	S18C6871
S18C6	S18C9005
S18C6	S18C52086
S18C6	S18C69152
S18C6	S18C36045
S18C6	S18C56507
S18C6	S18C59059
S18C6	S18C71722
S18C6	S18C34975
S18C6	S18C10648
S18C6	S18C65096
S18C6	S18C7418
S18C6	S18C70490
S18C6	S18C32289
S18C6	S18C36803
S18C6	S18C16582
S18C6	S18C37660
S18C6	S18C56240
S18C6	S18C56102
S18C6	S18C40494
S18C6	S18C43642
S18C6	S18C7106
S18C6	S18C13381
S18C6	S18C8129
S18C6	S18C63727
S18C6	S18C8564
S18C6	S18C19192
S18C6	S18C7218
S18C6	S18C79277
S18C6	S18C30394
S18C6	S18C62884
S18C6	S18C24318
S18C6	S18C53982
S18C6	S18C43638
S18C6	S18C45862
S18C6	S18C85938
S18C6	S18C23053
S18C6	S18C38220
S18C6	S18C6732
S18C6	S18C32528
S18C6	S18C22810
S18C6	S18C7030
S18C6	S18C70616
S18C6	S18C53095
S18C6	S18C54291
S18C6	S18C3931
S18C6	S18C29525
S18C6	S18C9040
S18C6	S18C43088
S18C6	S18C55980
S18C6	S18C39093
S18C6	S18C74740
S18C6	S18C21659
S18C6	S18C72708
S18C6	S18C69284
S18C6	S18C24202
S18C6	S18C35726
S18C6	S18C17884
S18C6	S18C33426
S18C6	S18C67999
S18C6	S18C60319
S18C6	S18C12100
S18C6	S18C80407
S18C6	S18C3344
S18C6	S18C19394
S18C6	S18C18365
S18C6	S18C48085
S18C6	S18C51611
S18C6	S18C42283
S18C6	S18C56301
S18C6	S18C30447
S18C6	S18C67542
S18C6	S18C71105
S18C6	S18C36765
S18C6	S18C21797
S18C6	S18C80737
S18C6	S18C37492
S18C6	S18C59004
S18C6	S18C38984
S18C6	S18C38907
S18C6	S18C61659
S18C6	S18C61202
S18C6	S18C27793
S18C6	S18C43764
S18C6	S18C33066
S18C6	S18C17163
S18C6	S18C51836
S18C6	S18C39584
S18C6	S18C11125
S18C6	S18C30484
S18C6	S18C10618
