S7C1	S7C106127
S18C2	S18C33566
S18C2	S18C79885
S18C2	S18C78453
S18C2	S18C66601
S18C2	S18C85191
S18C2	S18C41190
S18C2	S18C37252
S18C2	S18C80149
S18C2	S18C57066
S18C2	S18C16381
S18C2	S18C5694
S18C2	S18C36107
S18C2	S18C3247
S18C2	S18C23544
S18C2	S18C37903
S18C2	S18C46625
S18C2	S18C64597
S18C2	S18C64437
S18C2	S18C66051
S18C2	S18C61918
S18C2	S18C58637
S18C2	S18C77552
S18C2	S18C16599
S18C2	S18C65026
S18C2	S18C16409
S18C2	S18C9211
S18C2	S18C62579
S18C2	S18C72913
S18C2	S18C30793
S18C2	S18C40843
S18C2	S18C73290
S18C2	S18C67387
S18C2	S18C64137
S18C2	S18C25447
S18C2	S18C66028
S18C2	S18C38835
S18C2	S18C34329
S18C2	S18C35386
S18C2	S18C22610
S18C2	S18C85884
S18C2	S18C51457
S18C2	S18C36059
S18C2	S18C53968
S18C2	S18C50022
S18C2	S18C62656
S18C2	S18C45163
S18C2	S18C86027
S18C2	S18C31471
S18C2	S18C20978
S18C2	S18C39094
S18C2	S18C10252
S18C2	S18C28675
S18C2	S18C57471
S18C2	S18C43094
S18C2	S18C68159
S18C2	S18C56989
S18C2	S18C53685
S18C2	S18C70376
S18C2	S18C64677
S18C2	S18C55493
S18C2	S18C17585
S18C2	S18C75603
S18C2	S18C20624
S18C2	S18C62760
S18C2	S18C75074
S18C2	S18C68010
S18C2	S18C34991
S18C2	S18C39279
S18C2	S18C22018
S18C2	S18C12348
S18C2	S18C11746
S18C2	S18C14999
S18C2	S18C8277
S18C2	S18C11
S18C2	S18C76249
S18C2	S18C55924
S18C2	S18C38369
S18C2	S18C50018
S18C2	S18C19380
S18C2	S18C77478
S18C2	S18C15627
S18C2	S18C72475
S18C2	S18C18236
S18C2	S18C33305
S18C2	S18C4666
S18C2	S18C54893
S18C2	S18C911
S18C2	S18C82998
S18C2	S18C40487
S18C2	S18C54576
S18C2	S18C7339
S18C2	S18C963
S18C2	S18C55437
S18C2	S18C7171
S18C2	S18C61463
S18C2	S18C84882
S18C2	S18C58542
S18C2	S18C63381
S18C2	S18C68991
S18C2	S18C63015
S18C2	S18C28311
S18C2	S18C67198
S18C2	S18C51417
S18C2	S18C27282
S18C2	S18C68437
S18C2	S18C5008
S18C2	S18C76073
S18C2	S18C66468
S18C2	S18C11884
S18C2	S18C63329
S18C2	S18C79423
S18C2	S18C18554
S18C2	S18C84964
S18C2	S18C29625
S18C2	S18C8846
S18C2	S18C72474
S18C2	S18C3475
S18C2	S18C53563
S18C2	S18C36851
S18C2	S18C85083
S18C2	S18C79999
S18C2	S18C35591
S18C2	S18C47484
S18C2	S18C16529
S18C2	S18C34789
S18C2	S18C14723
S18C2	S18C51482
S18C2	S18C29374
S18C2	S18C78060
S18C2	S18C29262
S18C2	S18C83897
S18C2	S18C63028
S18C2	S18C5838
S18C2	S18C60049
S18C2	S18C79463
S18C2	S18C33243
S18C2	S18C65581
S18C2	S18C49757
S18C2	S18C59073
S18C2	S18C43409
S18C2	S18C20959
S18C2	S18C69604
S18C2	S18C84871
S18C2	S18C69437
S18C2	S18C79184
S18C2	S18C31523
S18C2	S18C84762
S18C2	S18C21392
S18C2	S18C16280
S18C2	S18C41681
