S16C1	S16C753335
S7C2	S7C84665
S13C3	S13C145264
S14C4	S14C41576
S14C5	S14C125915
S7C6	S7C145573
S16C7	S16C588892
S8C8	S8C90488
S19C9	S19C331237
S19C9	S19C524658
S19C9	S19C6118
S19C9	S19C401569
S19C9	S19C314534
S19C9	S19C487746
S19C9	S19C503128
S19C9	S19C138672
S19C9	S19C670191
S19C9	S19C367608
S19C9	S19C423021
S19C9	S19C631426
S19C9	S19C158464
S19C9	S19C244129
S19C9	S19C30881
S19C9	S19C60778
S19C9	S19C6525
S19C9	S19C614732
S19C9	S19C157262
S19C9	S19C667088
S19C9	S19C614221
S19C9	S19C489866
S19C9	S19C624000
S19C9	S19C487105
S19C9	S19C151719
S19C9	S19C451145
S19C9	S19C370144
S19C9	S19C530531
S19C9	S19C278491
S19C9	S19C182229
S19C9	S19C426073
S19C9	S19C562997
S19C9	S19C42197
S19C9	S19C250291
S19C9	S19C134136
S19C9	S19C102411
S19C9	S19C14224
S19C9	S19C294829
S19C9	S19C134067
S19C9	S19C353773
S19C9	S19C597907
S19C9	S19C437481
S19C9	S19C322424
S19C9	S19C504205
S19C9	S19C122890
S19C9	S19C101208
S19C9	S19C454123
S19C9	S19C31223
S19C9	S19C425281
S19C9	S19C30985
S19C9	S19C536270
S19C9	S19C429371
S19C9	S19C278520
S19C9	S19C236473
S19C9	S19C602371
S19C9	S19C32745
S19C9	S19C172444
S19C9	S19C223672
S19C9	S19C86583
S19C9	S19C154663
S19C9	S19C519158
S19C9	S19C164760
S19C9	S19C540114
S19C9	S19C494558
S19C9	S19C617593
S19C9	S19C675637
S19C9	S19C47727
S19C9	S19C602204
S19C9	S19C177652
S19C9	S19C469549
S19C9	S19C371866
S19C9	S19C648608
S19C9	S19C442880
S19C9	S19C438165
S19C9	S19C489553
S19C9	S19C347995
S19C9	S19C286632
S19C9	S19C553611
S19C9	S19C137185
S19C9	S19C590396
S19C9	S19C480938
S19C9	S19C321451
S19C9	S19C586567
S19C9	S19C105669
S19C9	S19C360449
S19C9	S19C221753
S19C9	S19C198289
S19C9	S19C451464
S19C9	S19C361149
S19C9	S19C244020
S19C9	S19C318567
S19C9	S19C496328
S19C9	S19C617714
S19C9	S19C639447
S19C9	S19C248713
S19C9	S19C427909
S19C9	S19C445580
S19C9	S19C129788
S19C9	S19C52331
S19C9	S19C542025
S19C9	S19C154459
S19C9	S19C583918
S19C9	S19C23850
S19C9	S19C148444
S19C9	S19C434591
S19C9	S19C494156
S19C9	S19C27866
S19C9	S19C498037
S19C9	S19C499170
S19C9	S19C516528
S19C9	S19C231574
S19C9	S19C108701
S19C9	S19C584309
S19C9	S19C47058
S19C9	S19C332213
S19C9	S19C71408
S19C9	S19C112068
S19C9	S19C273214
S19C9	S19C402345
S19C9	S19C452713
S19C9	S19C88002
